, Flow Duration,Total Length of Fwd Packets, Fwd Packet Length Max, Fwd Packet Length Mean, Fwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Std, Flow IAT Max, Fwd IAT Max, Fwd Header Length,Fwd Packets/s, Bwd Packets/s, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance, Average Packet Size, Avg Fwd Segment Size, Fwd Header Length.1, Subflow Fwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, Label
0,640,440,220,62.85714286,107.34900800000001,1246875.0,17187.5,135.557286,445,497,164,10937.5,6250.0,220,66.5,99.00183653,9801.363636,72.54545455,62.85714286,164,440,8192,2053,0
1,900,600,300,66.66666667,132.2875656,3937777.778,14444.444440000001,192.7952282,684,734,204,10000.0,4444.444444,1472,253.1428571,527.4342623,278186.9011,272.6153846,66.66666667,204,600,8192,2053,0
2,1205,2776,1388,396.57142860000016,677.2746506,4652282.158,9128.630705,236.4333357,777,1008,164,5809.128631000001,3319.502075,1415,467.16666669999995,690.0989169,476236.5152,509.6363636,396.57142860000016,164,2776,8192,2053,0
3,511,452,226,64.57142857,110.27670819999999,1608610.5680000002,21526.41879,90.76765209,299,349,164,13698.630140000001,7827.78865,226,68.5,101.9335791,10390.45455,74.72727273,64.57142857,164,452,8192,2053,0
4,773,612,306,68.0,134.9333169,4600258.732,16817.59379,148.6982658,531,580,204,11642.94955,5174.644243,1472,254.0,527.5207615,278278.1538,273.53846150000004,68.0,204,612,8192,2053,0
5,986,3100,1550,344.44444439999995,683.4857553999999,6217038.54,15212.981740000001,182.10846909999998,696,785,204,9127.789047,6085.192698,1550,383.125,685.4144124,469792.9167,408.6666667,344.44444439999995,204,3100,8192,2053,0
6,935,3074,1537,341.55555560000005,677.7532942,6506951.872,16042.78075,187.3619199,714,811,204,9625.668448999999,6417.112299,1537,380.25,680.2620573,462756.4667,405.6,341.55555560000005,204,3074,8192,2053,0
7,572849,4076,1646,271.7333333,562.9358586,8895.887048999999,47.13283954,101642.2098,517763,517763,324,26.18491086,20.94792869,1646,182.0,421.41314289999997,177589.03699999995,188.74074069999998,271.7333333,324,4076,8192,0,0
8,1,0,0,0.0,0.0,0.0,3000000.0,0.7071067809999999,1,1,40,2000000.0,1000000.0,0,0.0,0.0,0.0,0.0,0.0,40,0,0,254,0
9,1075,3100,1550,344.44444439999995,683.4857553999999,5702325.581,16744.18605,167.88780830000005,709,762,204,8372.093023000001,8372.093023000001,1550,322.63157889999997,641.9466238,412095.4678,340.55555560000005,344.44444439999995,204,3100,8192,0,0
10,2687,3074,1537,341.55555560000005,677.7532942,2264235.207,5582.4339409999975,423.9485572,1505,1505,204,3349.460365,2232.973576000001,1537,380.25,680.2620573,462756.4667,405.6,341.55555560000005,204,3074,8192,2053,0
11,14263712,1664,168,79.23809524,85.18797143,241.73230640000003,2.3135632580000003,1978382.148,11100000,11100000,444,1.4722675280000002,0.84129573,268,101.4117647,90.75512095,8236.491979,104.4848485,79.23809524,444,1664,8192,2050,0
12,14257993,2378,968,216.1818182,381.7917805,318.2776145,1.192313673,3549720.687,14200000,14200000,244,0.771497082,0.42081659,968,252.11111110000002,396.5309704,157236.8105,266.94117650000004,216.1818182,244,2378,8192,2049,0
13,68,0,0,0.0,0.0,0.0,58823.52941,34.96188401,63,0,20,14705.88235,44117.64706,0,0.0,0.0,0.0,0.0,0.0,20,0,253,2050,0
14,58,0,0,0.0,0.0,0.0,68965.51724,30.08875759,54,0,20,17241.37931,51724.137930000004,0,0.0,0.0,0.0,0.0,0.0,20,0,252,2049,0
15,26641766,227,227,56.75,113.5,19.81850603,0.300280394,10000000.0,26600000,38095,92,0.150140197,0.150140197,301,58.66666667,117.8738733,13894.25,66.0,56.75,92,227,65535,946,0
16,34256029,12094,1755,310.10256410000005,490.9717965,542.7949632,2.131011741,3665524.167,31100000,31100000,804,1.138485725,0.9925260159999999,1755,251.27027030000002,370.5182338,137283.7616,254.71232880000002,310.10256410000005,804,12094,8192,2053,0
17,62,0,0,0.0,0.0,0.0,64516.12903,34.06366588,60,0,20,16129.03226,48387.09677,0,0.0,0.0,0.0,0.0,0.0,20,0,256,2053,0
18,310531,938,376,62.53333333,106.54969779999999,17940.23785,90.16813136,20369.31564,68414,68529,312,48.30435609,41.86377528,1430,192.1034483,377.1046032,142207.8818,198.96428569999998,62.53333333,312,938,8192,360,0
19,4,0,0,0.0,0.0,0.0,500000.0,0.0,4,4,40,500000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,40,0,360,-1,0
20,123156,496,192,55.11111111,80.26432029,40793.78999,138.0363117,14502.124230000001,36995,37775,192,73.07804735,64.95826432,1430,279.1111111,512.687141,262848.1046,295.52941180000005,55.11111111,192,496,8192,343,0
21,36020,38,38,19.0,26.87005769,1054.969461,83.28706274,25331.39333000001,35922,36020,40,55.524708499999996,27.76235425,38,19.0,21.93931023,481.33333330000005,25.33333333,19.0,40,38,351,0,0
22,689974,563,192,46.91666667,67.54723375,6606.046025,31.88525944,94373.97249,438268,438268,252,17.391959699999994,14.49329975,1430,198.173913,418.09607989999995,174804.332,207.18181819999998,46.91666667,252,563,8192,351,0
23,1581930,1044,438,74.57142857,121.3917462,3897.1383060000003,17.067759,258333.5705,1324171,1401302,292,8.849949113,8.21780989,1430,220.1785714,428.8097267,183877.7817,228.33333330000002,74.57142857,292,1044,8192,360,0
24,2346262,563,192,46.91666667,67.54723375,2185.177955,9.376616934,447364.0539,2062365,2062365,252,5.114518327,4.262098606,1430,222.91304350000001,463.2840198,214632.083,233.0454545,46.91666667,252,563,8192,351,0
25,2830799,2238,613,31.08333333,107.8403554,53941.66099,67.47211653,97518.63227,1085339,1161888,1452,25.43451513,42.0376014,2860,795.3020832999997,706.6981571,499422.2852,799.4659686000001,31.08333333,1452,2238,8192,368,0
26,2989643,866,433,123.7142857,211.28236580000004,788.7229345,3.679369075,658683.6578,2095890,2095890,152,2.341416684,1.337952391,746,196.5,305.2067853000001,93151.18182,214.36363640000002,123.7142857,152,866,8192,351,0
27,3182843,1299,433,144.33333330000005,216.5,1111.270647,4.3985832789999995,530235.2941,1956947,1956947,192,2.8276606789999996,1.5709226,746,235.8,316.0007233,99856.45714,252.6428571,144.33333330000005,192,1299,8192,360,0
28,3266983,562,191,43.23076923,65.78013105,1387.518698,7.0401345829999995,603031.2218,2843458,2843458,272,3.9792065030000003,3.06092808,1430,188.875,409.6831557,167840.288,197.08695649999999,43.23076923,272,562,8192,351,0
29,4770553,870,435,145.0,224.6330341,516.0827267,2.096193041,1542432.779,4643029,4643029,132,1.257715825,0.8384772159999999,796,223.8181818,330.8536892,109464.1636,246.2,145.0,132,870,8192,290,0
30,4953235,2356,679,168.28571430000005,276.38418870000004,2509.269195,5.2490947839999995,726367.0293,3653585,3653585,292,2.8264356530000003,2.422659131,1460,460.33333330000005,578.4526442000001,334607.4615,478.03846150000004,168.28571430000005,292,2356,8192,125,0
31,10637980,293,292,48.83333333,119.1275227,63.63990156,0.9400280879999999,3306519.3419999997,9989850,9989850,132,0.5640168529999999,0.376011235,384,61.54545455,138.2225478,19105.47273,67.7,48.83333333,132,293,8192,946,0
32,4589384,369,212,46.125,79.96505933,888.7903038999997,3.050518327,1232875.3290000001,4455903,4455903,172,1.74315333,1.307364997,1460,271.9333333,504.6464768999999,254668.0667,291.35714289999993,46.125,172,369,8192,119,0
33,915,0,0,0.0,0.0,0.0,3278.688525,642.7600641,912,912,60,3278.688525,0.0,0,0.0,0.0,0.0,0.0,0.0,60,0,360,-1,0
34,9749,0,0,0.0,0.0,0.0,512.8731152,4177.206912,8656,8656,100,512.8731152,0.0,0,0.0,0.0,0.0,0.0,0.0,100,0,378,-1,0
35,1484,0,0,0.0,0.0,0.0,2021.5633420000001,1045.1038230000001,1481,1481,60,2021.5633420000001,0.0,0,0.0,0.0,0.0,0.0,0.0,60,0,351,-1,0
36,640,0,0,0.0,0.0,0.0,4687.5,448.30569929999996,637,637,60,4687.5,0.0,0,0.0,0.0,0.0,0.0,0.0,60,0,351,-1,0
37,2451,0,0,0.0,0.0,0.0,1223.990208,1728.87608,2448,2448,60,1223.990208,0.0,0,0.0,0.0,0.0,0.0,0.0,60,0,351,-1,0
38,347,31,31,10.33333333,17.89785834,89337.17579,8645.533141,241.12341239999998,344,344,60,8645.533141,0.0,31,7.75,15.5,240.25,10.33333333,10.33333333,60,31,125,-1,0
39,237019,0,0,0.0,0.0,0.0,8.43814209,0.0,237019,237019,40,8.43814209,0.0,0,0.0,0.0,0.0,0.0,0.0,40,0,360,-1,0
