,Dst Port,Flow Duration,TotLen Fwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Mean,Bwd Pkt Len Mean,Flow IAT Mean,Flow IAT Max,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Max,Fwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,Pkt Size Avg,Fwd Seg Size Avg,Subflow Fwd Byts,Subflow Bwd Byts,Label
0,3389,1665875,1128,661,141.0,225.8571429,118991.0714,953123.0,1665875.0,237982.1429,1117799.0,172,4.802281084,4.201995948,1173,169.3125,317.7312740000001,100953.1625,180.6,141.0,1128,1581,0
1,53,67765,94,47,47.0,134.0,22588.33333,35839.0,31893.0,31893.0,31893.0,16,29.51376079,29.51376079,134,81.8,47.6518625,2270.7,102.25,47.0,94,268,0
2,0,213190,0,0,0.0,0.0,53297.5,210095.0,213190.0,53297.5,210095.0,0,23.45325766,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,41967,86370853,0,0,0.0,0.0,86400000.0,86400000.0,86400000.0,86400000.0,86400000.0,40,0.02315596,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,80,5113386,97,97,24.25,57.75,730483.7143,5051521.0,61865.0,20621.66667,61561.0,92,0.7822605220000001,0.7822605220000001,231,36.44444444,79.69960965,6352.027778,41.0,24.25,97,231,0
5,53,1050,35,35,35.0,83.0,1050.0,1050.0,0.0,0.0,0.0,8,952.3809524000001,952.3809524000001,83,51.0,27.71281292,768.0,76.5,35.0,35,83,0
6,137,1523742,150,50,50.0,0.0,761871.0,765630.0,1523742.0,761871.0,765630.0,24,1.9688372440000002,0.0,50,50.0,0.0,0.0,66.66666667,50.0,150,0,0
7,53,1254,35,35,35.0,163.0,1254.0,1254.0,0.0,0.0,0.0,8,797.4481659,797.4481659,163,77.66666667,73.90083446,5461.333333,116.5,35.0,35,163,0
8,20445,86062409,0,0,0.0,0.0,86100000.0,86100000.0,86100000.0,86100000.0,86100000.0,40,0.02323895,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
9,443,117170887,2199,1302,137.4375,369.875,3779706.0319999997,58900000.0,117000000.0,7811392.467,58900000.0,332,0.136552692,0.136552692,1430,245.96969700000002,448.0785705,200774.4053,253.65625,137.4375,2199,5918,0
10,3389,5213903,1128,661,125.33333329999999,197.625,325868.9375,3002116.0,5213903.0,651737.875,3146377.0,204,1.7261540919999998,1.534359193,1173,150.5,303.437221,92074.14706,159.35294119999998,125.33333329999999,1128,1581,0
11,80,81,0,0,0.0,0.0,81.0,81.0,81.0,81.0,81.0,40,24691.35802,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
12,445,1129544,364,103,52.0,116.4,102685.8182,268235.0,1129544.0,188257.3333,268305.0,148,6.1971910789999995,4.426565056,409,72.76923077,109.53321709999999,11997.52564,78.83333333,52.0,364,582,0
13,53,1080,42,42,42.0,139.0,1080.0,1080.0,0.0,0.0,0.0,8,925.9259258999999,925.9259258999999,139,74.33333333,56.00297611,3136.333333,111.5,42.0,42,139,0
14,80,54158397,0,0,0.0,0.0,54200000.0,54200000.0,54200000.0,54200000.0,54200000.0,40,0.036928715,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
15,3389,4060513,1455,741,111.92307690000001,216.375,203025.65,1075415.0,4060513.0,338376.0833,1299110.0,272,3.2015659110000003,1.9701944059999998,1179,144.81818180000005,285.3311587,81413.87013,151.71428569999995,111.92307690000001,1455,1731,0
16,53,69408,76,38,38.0,166.0,23136.0,68530.0,68927.0,68927.0,68927.0,16,28.81512218,28.81512218,166,89.2,70.10848736,4915.2,111.5,38.0,76,332,0
17,3389,7913652,1138,677,113.8,225.8571429,494603.25,5586825.0,7913652.0,879294.6667,5586825.0,212,1.263639089,0.8845473620000001,1173,151.0555556,304.98109339999996,93013.46732000001,159.94117649999995,113.8,1138,1581,0
18,53,18308,33,33,33.0,89.0,18308.0,18308.0,0.0,0.0,0.0,8,54.62093074,54.62093074,89,51.66666667,32.33161507,1045.333333,77.5,33.0,33,89,0
19,3389,1903319,1144,677,143.0,225.8571429,135951.3571,951000.0,1903319.0,271902.7143,1148281.0,172,4.203184017,3.677786015,1173,170.3125,319.4027173,102018.0958,181.66666669999998,143.0,1144,1581,0
20,50685,1,0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,40,2000000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
21,49889,4961634,0,0,0.0,0.0,4961634.0,4961634.0,4961634.0,4961634.0,4961634.0,40,0.40309301299999994,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
22,50440,26,0,0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,20,38461.53846,38461.53846,0,0.0,0.0,0.0,0.0,0.0,0,0,0
23,53,1152,66,66,66.0,148.0,1152.0,1152.0,0.0,0.0,0.0,8,868.0555555999997,868.0555555999997,148,93.33333333,47.34272207,2241.333333,140.0,66.0,66,148,0
24,3389,1983685,1144,677,143.0,225.8571429,141691.7857,953122.0,1983685.0,283383.5714,1163890.0,172,4.032898368,3.528786072,1173,170.3125,319.4027173,102018.0958,181.66666669999998,143.0,1144,1581,0
25,80,55213089,0,0,0.0,0.0,55200000.0,55200000.0,55200000.0,55200000.0,55200000.0,40,0.036223295,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
26,57988,51,0,0,0.0,0.0,51.0,51.0,51.0,51.0,51.0,40,39215.68627,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
27,80,53809618,0,0,0.0,0.0,53800000.0,53800000.0,53800000.0,53800000.0,53800000.0,40,0.037168077,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
28,53,2018,44,44,44.0,252.0,2018.0,2018.0,0.0,0.0,0.0,8,495.5401388,495.5401388,252,113.33333329999999,120.088856,14421.333330000001,170.0,44.0,44,252,0
29,51205,19,0,0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,20,52631.57895,52631.57895,0,0.0,0.0,0.0,0.0,0.0,0,0,0
30,51574,68,0,0,0.0,0.0,68.0,68.0,68.0,68.0,68.0,40,29411.764710000003,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
31,53,1071,32,32,32.0,94.0,1071.0,1071.0,0.0,0.0,0.0,8,933.7068161000001,933.7068161000001,94,52.66666667,35.79571669,1281.333333,79.0,32.0,32,94,0
32,53,17728,76,76,76.0,158.0,17728.0,17728.0,0.0,0.0,0.0,8,56.40794224,56.40794224,158,103.33333329999999,47.34272207,2241.333333,155.0,76.0,76,158,0
33,80,80,0,0,0.0,0.0,80.0,80.0,80.0,80.0,80.0,40,25000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
34,3389,4062833,1460,741,104.2857143,216.375,193468.2381,953170.0,4062833.0,312525.6154,1286580.0,292,3.4458713910000003,1.969069366,1179,138.7391304,280.39602149999996,78621.92885,145.0454545,104.2857143,1460,1731,0
